Pathway	ENTREZID	SYMBOL	GENENAME
Wnt5a	22418	Wnt5a	wingless-type MMTV integration site family, member 5A
Wnt5a	216795	Wnt9a	wingless-type MMTV integration site family, member 9A
Pik3cd	18707	Pik3cd	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
Pik3cd	18710	Pik3r3	phosphoinositide-3-kinase regulatory subunit 3
Inhbe	16326	Inhbe	inhibin beta-E
Pik3cd	18707	Pik3cd	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
Pik3cd	18710	Pik3r3	phosphoinositide-3-kinase regulatory subunit 3
Inhbe	16326	Inhbe	inhibin beta-E
Wnt5a	22418	Wnt5a	wingless-type MMTV integration site family, member 5A
Wnt5a	216795	Wnt9a	wingless-type MMTV integration site family, member 9A
Smad5	17129	Smad5	SMAD family member 5
Smad5	55994	Smad9	SMAD family member 9
Mapk13	26415	Mapk13	mitogen-activated protein kinase 13
Smad5	17129	Smad5	SMAD family member 5
Smad5	55994	Smad9	SMAD family member 9
Id1	15901	Id1	inhibitor of DNA binding 1, HLH protein
Lefty2	320202	Lefty2	left-right determination factor 2
Pax6	18508	Pax6	paired box 6
Dusp9	75590	Dusp9	dual specificity phosphatase 9
Bmi1	12151	Bmi1	Bmi1 polycomb ring finger oncogene
